2020-02-11/21:44:00		Error while creating table: no such column: F 
2020-02-11/23:20:04		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:04		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:04		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:04		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:04		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:04		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:04		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:04		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:05		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:05		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:05		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:05		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:05		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:05		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:05		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:05		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:05		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:05		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:05		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:05		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:06		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:06		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:06		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:06		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:06		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:06		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:06		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:06		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:06		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:06		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:06		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:07		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:07		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:07		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:07		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:07		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:07		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:07		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:07		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:07		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:07		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:07		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:08		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:08		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:08		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:08		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:08		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:08		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:08		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:08		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:08		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:08		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:08		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:08		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:08		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:09		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:09		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:09		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:09		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:09		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:09		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:09		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:09		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:09		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:10		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:10		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:10		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:10		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:10		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:10		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:10		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:10		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:10		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:10		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:10		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:10		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:11		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:11		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:11		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:11		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:11		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:11		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:11		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:11		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:11		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:11		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:11		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:12		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:12		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:12		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:12		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:12		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:12		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:12		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:12		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:12		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:12		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:12		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:12		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:13		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:13		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:13		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:13		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:13		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:13		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:13		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:13		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:13		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:13		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:13		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:13		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:13		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:14		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:14		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:14		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:14		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:14		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:14		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:14		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:14		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:14		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:14		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:14		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:14		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:14		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:15		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:15		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:15		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:15		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:15		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:15		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:15		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:15		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:15		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:15		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:16		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:16		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:16		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:16		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:16		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:16		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:16		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:16		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:16		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:16		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:16		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:16		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:17		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:17		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:17		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:17		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:17		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:17		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:17		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:17		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:17		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:17		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:17		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:18		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:18		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:18		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:18		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:18		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:18		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:18		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:18		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:18		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:18		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:18		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:19		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:19		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:19		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:19		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:19		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:19		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:19		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:19		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:19		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:19		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:19		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:19		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:20		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:20		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:20		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:20		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:20		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:20		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:20		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:20		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:20		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:20		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:20		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:21		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:21		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:21		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:21		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:21		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:21		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:21		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:21		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:21		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:21		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:21		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:22		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:22		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:22		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:22		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:22		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:22		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:22		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:22		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:22		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:22		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:22		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:23		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:23		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:23		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:23		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:23		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:23		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:23		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:23		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:23		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:23		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:23		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:23		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:24		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:24		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:24		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:24		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:24		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:24		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:24		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:24		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:24		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:24		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:24		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:27		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:27		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:27		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:27		 hypothyroid_21012019_034556.csv: File loaded successfully!!
